,H2O2,SSK1,SSK2,RIC8
SS-A837,2.0,1.0,1.0,1.0
SS-B307,0.75,0.0,0.0,1.0
SS-B310,0.0,1.0,0.0,1.0
SS-B311,4.0,0.0,1.0,1.0
SS-B312,5.0,0.0,1.0,0.0
SS-B313,3.75,0.0,1.0,0.0
SS-B314,1.0,1.0,1.0,1.0
SS-B315,5.0,0.0,1.0,0.0
SS-B316,3.25,0.0,0.0,1.0
SS-B317,3.5,0.0,1.0,1.0
SS-B350,1.75,1.0,0.0,1.0
SS-B354,2.25,1.0,0.0,0.0
SS-B356,2.5,0.0,1.0,0.0
SS-B357,4.5,1.0,1.0,0.0
SS-B358,1.0,0.0,0.0,1.0
SS-B360,0.0,0.0,0.0,1.0
SS-B364,0.0,0.0,1.0,0.0
SS-B366,4.5,1.0,1.0,0.0
SS-B368,4.0,1.0,1.0,0.0
SS-B369,4.0,0.0,1.0,0.0
SS-B373,5.0,0.0,1.0,0.0
SS-B374,0.0,1.0,0.0,1.0
SS-B378,3.75,0.0,1.0,0.0
SS-B379,2.0,1.0,1.0,1.0
SS-B382,2.0,1.0,0.0,1.0
SS-B383,1.25,1.0,0.0,0.0
SS-B387,3.5,1.0,1.0,0.0
SS-B396,4.0,1.0,1.0,1.0
SS-B397,1.5,1.0,1.0,0.0
SS-B399,2.25,1.0,1.0,0.0
SS-B407,0.0,1.0,1.0,0.0
SS-B553,1.5,1.0,0.0,0.0
SS-B560,4.75,0.0,1.0,1.0
SS-B563,3.5,1.0,1.0,0.0
SS-B564,1.75,1.0,0.0,1.0
SS-B565,0.0,0.0,1.0,0.0
SS-B569,3.75,1.0,0.0,0.0
SS-B570,5.0,0.0,1.0,0.0
SS-B574,4.0,0.0,0.0,1.0
SS-B575,2.5,0.0,0.0,1.0
SS-B579,4.5,0.0,1.0,1.0
SS-B580,4.75,1.0,1.0,0.0
SS-B584,2.25,1.0,1.0,1.0
SS-B585,0.0,1.0,0.0,0.0
SS-B586,0.0,1.0,0.0,1.0
SS-B587,1.0,1.0,1.0,0.0
SS-B588,0.0,1.0,0.0,0.0
SS-B589,5.0,0.0,1.0,1.0
SS-B591,3.75,0.0,1.0,1.0
SS-B598,3.0,1.0,0.0,0.0
SS-B599,2.25,0.0,1.0,0.0
SS-B600,4.75,0.0,1.0,0.0
SS-B605,4.0,1.0,0.0,1.0
SS-B606,3.75,1.0,1.0,0.0
SS-B611,5.0,0.0,1.0,0.0
SS-B621,0.0,1.0,0.0,1.0
SS-B869_cor,1.0,1.0,0.0,1.0
SS-B872,0.0,1.0,0.0,1.0
SS-B872_cor,4.25,0.0,0.0,0.0
SS-B873_cor,0.0,0.0,0.0,1.0
SS-B874,4.75,0.0,0.0,0.0
SS-B874_cor,3.25,1.0,0.0,0.0
SS-B876,4.75,1.0,1.0,0.0
SS-B880,1.0,0.0,0.0,1.0
SS-B886,4.75,0.0,0.0,0.0
SS-B886_cor,5.0,0.0,0.0,0.0
SS-B887,3.5,1.0,0.0,1.0
SS-B887_cor,2.75,1.0,0.0,1.0
SS-B890_cor,0.0,0.0,0.0,1.0
SS-B892_cor,0.0,1.0,0.0,1.0
SS-B896_cor,0.0,1.0,0.0,1.0
SS-B898_cor,0.0,0.0,0.0,1.0
SS-B901_cor,2.0,0.0,0.0,1.0
SS-B905,0.0,0.0,0.0,1.0
SS-B906,0.0,0.0,0.0,1.0
SS-B906_cor,4.75,1.0,0.0,1.0
SS-B908,4.5,0.0,0.0,0.0
SS-B908_cor,2.5,1.0,0.0,1.0
SS-B926,2.75,0.0,0.0,1.0
SS-B927,4.25,1.0,0.0,1.0
SS-B929,0.0,0.0,0.0,1.0
SS-B930,3.0,1.0,0.0,1.0
SS-B952,0.0,1.0,0.0,1.0
SS-B956,0.0,1.0,0.0,0.0
SS-B960_cor,5.0,0.0,1.0,1.0
SS-B961,4.75,0.0,0.0,0.0
SS-B961_cor,0.0,1.0,0.0,1.0
SS-B996,2.5,0.0,0.0,1.0
SS-B997,2.0,1.0,0.0,0.0
SS-B998,0.5,1.0,0.0,1.0
SS-C001,0.0,0.0,0.0,1.0
SS-C026_cor,0.0,1.0,0.0,1.0
SS-C029_cor,3.0,1.0,0.0,0.0
SS-C031_cor,3.25,0.0,0.0,1.0
SS-C033,2.25,1.0,0.0,1.0
SS-C036,5.0,0.0,0.0,0.0
SS-C039,4.75,0.0,0.0,0.0
SS-C242,2.25,1.0,0.0,0.0
SS-C271,4.75,1.0,0.0,0.0
SS-C272,3.75,1.0,0.0,1.0
SS-C290,4.0,1.0,1.0,1.0
SS-C291,3.75,1.0,1.0,0.0
XL280a,4.5,0.0,0.0,0.0
XL280alpha,4.5,0.0,0.0,0.0
